fecha,numero,signo
02/08/2025,1836,Virgo
01/08/2025,580,Sagitario
31/07/2025,5618,Aries
30/07/2025,7774,Leo
29/07/2025,3063,Tauro
28/07/2025,1288,Libra
27/07/2025,5540,Virgo
26/07/2025,9032,Virgo
25/07/2025,9272,Aries
24/07/2025,5517,Escorpion
23/07/2025,7991,Libra
22/07/2025,3404,Cancer
21/07/2025,2526,Cancer
20/07/2025,5702,Capricornio
19/07/2025,7038,Capricornio
18/07/2025,2373,Geminis
17/07/2025,6555,Capricornio
16/07/2025,9339,Leo
15/07/2025,907,Libra
14/07/2025,5105,Capricornio
13/07/2025,352,Geminis
12/07/2025,1535,Geminis
11/07/2025,8186,Cancer
10/07/2025,21,Escorpion
09/07/2025,5748,Virgo
08/07/2025,3888,Escorpion
07/07/2025,312,Acuario
06/07/2025,7836,Escorpion
05/07/2025,1681,Geminis
04/07/2025,3328,Sagitario
03/07/2025,4406,Virgo
02/07/2025,3303,Aries
01/07/2025,9583,Sagitario
30/06/2025,2217,Geminis
29/06/2025,411,Piscis
28/06/2025,7534,Cancer
27/06/2025,4829,Leo
26/06/2025,4852,Sagitario
25/06/2025,8334,Cancer
24/06/2025,3846,Escorpion
23/06/2025,659,Cancer
22/06/2025,8461,Geminis
21/06/2025,9082,Libra
20/06/2025,654,Libra
19/06/2025,4245,Sagitario
18/06/2025,5310,Cancer
17/06/2025,4136,Tauro
16/06/2025,2830,Sagitario
15/06/2025,7302,Capricornio
14/06/2025,9125,Capricornio
13/06/2025,14,Cancer
12/06/2025,9213,Aries
11/06/2025,3835,Piscis
10/06/2025,8560,Escorpion
09/06/2025,61,Libra
08/06/2025,1777,Libra
07/06/2025,1300,Cancer
06/06/2025,699,Geminis
05/06/2025,4326,Acuario
04/06/2025,2073,Escorpion
03/06/2025,5445,Geminis
02/06/2025,6628,Sagitario
01/06/2025,1238,Leo
31/05/2025,2343,Geminis
30/05/2025,9213,Aries
29/05/2025,14,Cancer
28/05/2025,9125,Capricornio
27/05/2025,7302,Capricornio
26/05/2025,2830,Sagitario
25/05/2025,4136,Tauro
24/05/2025,5310,Cancer
23/05/2025,4245,Sagitario
22/05/2025,654,Libra
21/05/2025,9082,Libra
20/05/2025,8461,Geminis
19/05/2025,659,Cancer
18/05/2025,3846,Escorpion
17/05/2025,8334,Cancer
16/05/2025,4852,Sagitario
15/05/2025,4829,Leo
14/05/2025,7534,Cancer
13/05/2025,411,Piscis
12/05/2025,2217,Geminis
11/05/2025,873,Virgo
10/05/2025,627,Geminis
09/05/2025,4223,Escorpion
08/05/2025,8463,Geminis
07/05/2025,5124,Capricornio
06/05/2025,7554,Escorpion
05/05/2025,6257,Aries
04/05/2025,7741,Aries
03/05/2025,291,Aries
02/05/2025,4989,Geminis
01/05/2025,7941,Escorpion
30/04/2025,110,Cancer
29/04/2025,6771,Capricornio
28/04/2025,2205,Escorpion
27/04/2025,3902,Aries
26/04/2025,7576,Geminis
25/04/2025,5323,Aries
24/04/2025,2145,Geminis
23/04/2025,2635,Leo
22/04/2025,6969,Aries
21/04/2025,1864,Libra
20/04/2025,7419,Capricornio
19/04/2025,5605,Leo
18/04/2025,2678,Acuario
17/04/2025,3625,Libra
16/04/2025,4557,Cancer
15/04/2025,7080,Libra
14/04/2025,8615,Geminis
13/04/2025,5769,Acuario
12/04/2025,1773,Piscis
11/04/2025,3753,Acuario
10/04/2025,4849,Piscis
09/04/2025,6861,Capricornio
08/04/2025,8742,Capricornio
07/04/2025,5815,Acuario
06/04/2025,5006,Geminis
05/04/2025,8602,Virgo
04/04/2025,4781,Piscis
03/04/2025,8344,Escorpion
02/04/2025,4370,Leo
01/04/2025,2800,Escorpion
