sorteo,modo,fecha,aciertos,premio_total,ganadores,premio_por_ganador
2534,baloto,02/08/2025,5+SB,$0,0,$0
2534,baloto,02/08/2025,5,$0,0,$0
2534,baloto,02/08/2025,4+SB,$8.881.200,2,$4.440.600
2534,baloto,02/08/2025,4,$9.713.000,44,$220.75
2534,baloto,02/08/2025,3+SB,$8.420.100,127,$66.30
2534,baloto,02/08/2025,3,$27.484.600,1.922,$14.30
2534,baloto,02/08/2025,2+SB,$21.944.000,2.11,$10.40
2534,baloto,02/08/2025,0+SB,$136.524.000,22.754,$6.00
2533,baloto,30/07/2025,5+SB,$0,0,$0
2533,baloto,30/07/2025,5,$0,0,$0
2533,baloto,30/07/2025,4+SB,$6.355.800,4,$1.588.950
2533,baloto,30/07/2025,4,$6.952.800,48,$144.85
2533,baloto,30/07/2025,3+SB,$6.025.400,94,$64.10
2533,baloto,30/07/2025,3,$19.626.600,4.673,$4.20
2533,baloto,30/07/2025,2+SB,$15.728.400,1.224,$12.85
2533,baloto,30/07/2025,0+SB,$80.154.000,13.359,$6.00
2532,baloto,28/07/2025,5+SB,$0,0,$0
2532,baloto,28/07/2025,5,$0,0,$0
2532,baloto,28/07/2025,4+SB,$0,0,$0
2532,baloto,28/07/2025,4,$2.858.900,22,$129.95
2532,baloto,28/07/2025,3+SB,$2.477.750,53,$46.75
2532,baloto,28/07/2025,3,$8.072.400,651,$12.40
2532,baloto,28/07/2025,2+SB,$6.467.200,752,$8.60
2532,baloto,28/07/2025,0+SB,$56.046.000,9.341,$6.00
2531,baloto,26/07/2025,5+SB,$0,0,$0
2531,baloto,26/07/2025,5,$46.650.850,1,$46.650.850
2531,baloto,26/07/2025,4+SB,$9.349.650,3,$3.116.550
2531,baloto,26/07/2025,4,$10.226.300,98,$104.35
2531,baloto,26/07/2025,3+SB,$8.859.600,214,$41.40
2531,baloto,26/07/2025,3,$28.887.400,3.359,$8.60
2531,baloto,26/07/2025,2+SB,$23.143.700,2.326,$9.95
2531,baloto,26/07/2025,0+SB,$125.412.000,20.902,$6.00
2530,baloto,23/07/2025,5+SB,$0,0,$0
2530,baloto,23/07/2025,5,$0,0,$0
2530,baloto,23/07/2025,4+SB,$6.874.600,4,$1.718.650
2530,baloto,23/07/2025,4,$7.518.900,71,$105.90
2530,baloto,23/07/2025,3+SB,$6.514.950,169,$38.55
2530,baloto,23/07/2025,3,$21.309.500,2.507,$8.50
2530,baloto,23/07/2025,2+SB,$16.985.800,1.807,$9.40
2530,baloto,23/07/2025,0+SB,$97.368.000,16.228,$6.00
2529,baloto,21/07/2025,5+SB,$0,0,$0
2529,baloto,21/07/2025,5,$0,0,$0
2529,baloto,21/07/2025,4+SB,$3.200.200,2,$1.600.100
2529,baloto,21/07/2025,4,$3.499.800,19,$184.20
2529,baloto,21/07/2025,3+SB,$3.033.250,55,$55.15
2529,baloto,21/07/2025,3,$9.900.200,839,$11.80
