sorteo,modo,fecha,n1,n2,n3,n4,n5,sb
2534,baloto,02/08/2025,13,22,32,35,42,11
2533,baloto,30/07/2025,29,30,34,36,41,15
2532,baloto,28/07/2025,10,30,33,34,41,7
2531,baloto,26/07/2025,19,25,29,34,43,10
2530,baloto,23/07/2025,1,16,19,25,26,16
2529,baloto,21/07/2025,21,26,27,34,41,16
2528,baloto,19/07/2025,14,17,22,24,27,9
2527,baloto,16/07/2025,5,10,13,20,31,13
2526,baloto,14/07/2025,8,14,28,35,36,5
2525,baloto,12/07/2025,7,10,17,30,43,15
2524,baloto,09/07/2025,9,21,25,29,41,10
2523,baloto,07/07/2025,2,12,24,41,42,5
2522,baloto,05/07/2025,4,17,19,26,36,10
2521,baloto,02/07/2025,6,16,21,23,42,13
2520,baloto,30/06/2025,2,3,9,36,41,15
2519,baloto,28/06/2025,5,15,18,31,35,8
2518,baloto,25/06/2025,5,8,20,29,35,11
2517,baloto,23/06/2025,3,24,28,34,37,15
2516,baloto,21/06/2025,9,17,24,29,43,8
2515,baloto,18/06/2025,4,10,15,23,42,9
2514,baloto,16/06/2025,2,4,5,16,32,9
2513,baloto,14/06/2025,5,7,14,15,19,6
2512,baloto,11/06/2025,1,2,5,21,33,7
2511,baloto,09/06/2025,2,13,17,21,34,9
2510,baloto,07/06/2025,6,9,21,36,42,9
2509,baloto,04/06/2025,26,29,33,35,41,5
2508,baloto,02/06/2025,2,18,27,31,35,12
2507,baloto,31/05/2025,2,8,16,28,31,15
2506,baloto,28/05/2025,1,9,10,33,37,15
2505,baloto,24/05/2025,1,10,13,38,40,13
2504,baloto,21/05/2025,2,3,4,10,34,7
2503,baloto,17/05/2025,6,14,34,36,41,12
2502,baloto,14/05/2025,3,31,40,41,42,14
2501,baloto,10/05/2025,2,5,18,21,28,2
2500,baloto,07/05/2025,5,9,17,25,32,2
2499,baloto,03/05/2025,10,12,24,32,37,12
2498,baloto,30/04/2025,5,12,17,19,22,16
2497,baloto,26/04/2025,1,15,20,23,31,10
2496,baloto,23/04/2025,4,5,19,28,43,5
2495,baloto,19/04/2025,11,26,31,35,43,6
2494,baloto,16/04/2025,5,11,18,31,32,9
2493,baloto,12/04/2025,3,4,13,38,39,1
2492,baloto,09/04/2025,7,8,9,19,26,4
2491,baloto,05/04/2025,1,7,22,40,41,3
2490,baloto,02/04/2025,18,25,40,41,43,13
2489,baloto,29/03/2025,3,9,27,36,37,1
2488,baloto,26/03/2025,3,9,21,27,39,3
2487,baloto,22/03/2025,8,12,22,26,28,1
2486,baloto,19/03/2025,1,18,27,40,43,1
2485,baloto,15/03/2025,17,21,25,26,39,15
2484,baloto,12/03/2025,9,16,32,33,40,12
2483,baloto,08/03/2025,1,17,33,42,43,12
2482,baloto,05/03/2025,11,17,18,26,42,13
2481,baloto,01/03/2025,3,4,17,21,25,4
2480,baloto,26/02/2025,7,28,29,33,43,2
2479,baloto,22/02/2025,3,13,19,34,43,12
2478,baloto,19/02/2025,14,21,28,30,38,14
2477,baloto,15/02/2025,8,15,17,24,42,11
2476,baloto,12/02/2025,1,16,30,39,41,15
2475,baloto,08/02/2025,2,9,10,39,43,14
2474,baloto,05/02/2025,5,11,14,37,38,14
2473,baloto,01/02/2025,2,4,5,28,33,12
2472,baloto,29/01/2025,12,20,26,34,38,1
2471,baloto,25/01/2025,1,16,19,25,31,6
2470,baloto,22/01/2025,12,15,28,34,37,1
2469,baloto,18/01/2025,14,19,30,38,41,10
2468,baloto,15/01/2025,7,16,32,33,43,1
2467,baloto,11/01/2025,2,28,31,32,34,6
2466,baloto,08/01/2025,18,24,27,37,43,11
2465,baloto,04/01/2025,10,13,18,24,26,9
2464,baloto,01/01/2025,17,28,33,39,43,6
2463,baloto,28/12/2024,1,4,12,14,34,6
2462,baloto,25/12/2024,5,8,22,26,38,8
2461,baloto,21/12/2024,10,12,16,21,41,13
2460,baloto,18/12/2024,4,12,28,36,43,13
2459,baloto,14/12/2024,15,22,26,32,39,12
2458,baloto,11/12/2024,5,12,13,17,43,16
2457,baloto,07/12/2024,9,11,34,36,37,15
2456,baloto,04/12/2024,11,14,31,39,41,5
2455,baloto,30/11/2024,10,12,22,23,34,13
2454,baloto,27/11/2024,5,7,15,20,24,16
2453,baloto,23/11/2024,5,13,24,25,36,9
2452,baloto,20/11/2024,9,17,22,36,38,16
2451,baloto,16/11/2024,8,15,21,35,41,2
2450,baloto,13/11/2024,2,3,9,10,15,16
2449,baloto,09/11/2024,13,28,29,31,41,4
2448,baloto,06/11/2024,3,4,20,30,37,12
2447,baloto,02/11/2024,1,9,19,29,39,6
2446,baloto,30/10/2024,6,14,15,29,42,14
2445,baloto,26/10/2024,1,4,11,21,43,4
2444,baloto,23/10/2024,1,4,13,34,43,16
2443,baloto,19/10/2024,18,19,26,29,40,1
2442,baloto,16/10/2024,10,14,19,24,39,5
2441,baloto,12/10/2024,1,9,21,39,41,15
2440,baloto,09/10/2024,9,21,36,37,41,9
2439,baloto,05/10/2024,5,12,17,37,42,12
2438,baloto,02/10/2024,5,16,17,27,36,4
2437,baloto,28/09/2024,2,12,15,35,37,9
2436,baloto,25/09/2024,1,8,11,33,35,6
2435,baloto,21/09/2024,2,16,18,35,42,6
2434,baloto,18/09/2024,14,18,22,33,41,13
2433,baloto,14/09/2024,31,32,39,41,43,11
2432,baloto,11/09/2024,6,12,24,25,28,15
2431,baloto,07/09/2024,6,19,23,27,35,10
2430,baloto,04/09/2024,12,17,22,36,43,11
2429,baloto,31/08/2024,1,8,9,22,34,2
2428,baloto,28/08/2024,6,7,11,27,42,15
2427,baloto,24/08/2024,1,3,21,30,39,15
2426,baloto,21/08/2024,20,21,23,32,42,14
2425,baloto,17/08/2024,4,10,15,33,37,1
2424,baloto,14/08/2024,3,9,13,21,27,7
2423,baloto,10/08/2024,1,12,18,26,39,11
2422,baloto,07/08/2024,1,21,36,41,42,16
2421,baloto,03/08/2024,5,21,24,34,43,3
2420,baloto,31/07/2024,2,24,32,38,42,10
2419,baloto,27/07/2024,19,25,32,38,41,13
2418,baloto,24/07/2024,6,29,31,36,41,6
2417,baloto,20/07/2024,2,3,10,29,43,16
2416,baloto,17/07/2024,16,33,36,39,43,6
2415,baloto,13/07/2024,6,7,18,25,41,16
2414,baloto,10/07/2024,3,11,21,22,36,11
2413,baloto,06/07/2024,14,18,26,32,42,1
2412,baloto,03/07/2024,9,19,27,32,43,2
2411,baloto,29/06/2024,4,5,16,21,32,14
2410,baloto,26/06/2024,6,13,20,36,43,9
2409,baloto,22/06/2024,4,7,21,25,33,16
2408,baloto,19/06/2024,12,17,22,23,39,13
2407,baloto,15/06/2024,6,10,18,40,43,16
2406,baloto,12/06/2024,4,9,15,20,34,1
2405,baloto,08/06/2024,5,16,17,29,38,7
2404,baloto,05/06/2024,3,19,24,38,39,5
2403,baloto,01/06/2024,16,22,26,27,37,9
