fecha,numero
02/08/2025,8038
26/07/2025,5605
19/07/2025,8794
12/07/2025,7975
05/07/2025,619
28/06/2025,3859
21/06/2025,4351
14/06/2025,3640
07/06/2025,4930
31/05/2025,4848
24/05/2025,8151
17/05/2025,6611
10/05/2025,1551
03/05/2025,2585
26/04/2025,5622
19/04/2025,6543
12/04/2025,7619
05/04/2025,3855
29/03/2025,1575
22/03/2025,5348
15/03/2025,3365
08/03/2025,6183
01/03/2025,636
22/02/2025,7911
15/02/2025,4401
08/02/2025,6542
01/02/2025,5958
25/01/2025,7563
18/01/2025,5034
11/01/2025,7476
04/01/2025,7762
28/12/2024,4258
21/12/2024,2531
14/12/2024,968
07/12/2024,6493
30/11/2024,7575
23/11/2024,1961
16/11/2024,539
09/11/2024,209
02/11/2024,1105
26/10/2024,9041
19/10/2024,4658
12/10/2024,5012
05/10/2024,7111
28/09/2024,9882
21/09/2024,2943
14/09/2024,9508
07/09/2024,2904
31/08/2024,5332
24/08/2024,2776
17/08/2024,9427
10/08/2024,2480
03/08/2024,8231
27/07/2024,397
20/07/2024,7852
13/07/2024,2082
06/07/2024,269
29/06/2024,7375
22/06/2024,9693
15/06/2024,2201
08/06/2024,5746
01/06/2024,5109
25/05/2024,1271
18/05/2024,7617
11/05/2024,318
04/05/2024,4043
27/04/2024,7352
20/04/2024,5229
13/04/2024,5226
06/04/2024,7327
30/03/2024,607
23/03/2024,1038
16/03/2024,1801
09/03/2024,8697
02/03/2024,5190
24/02/2024,346
17/02/2024,1883
10/02/2024,9986
03/02/2024,3184
27/01/2024,20
20/01/2024,7312
13/01/2024,9210
06/01/2024,9751
30/12/2023,6509
23/12/2023,5151
16/12/2023,7751
09/12/2023,2689
02/12/2023,4035
25/11/2023,2636
18/11/2023,1634
11/11/2023,4976
04/11/2023,221
28/10/2023,8887
21/10/2023,1632
14/10/2023,9073
07/10/2023,1115
30/09/2023,3256
23/09/2023,6695
16/09/2023,4113
09/09/2023,9470
02/09/2023,5005
09/08/2025,3670
