rank,numero,score,hotcold,cal,dp,exact,patt
1,2035,0.7703921568627451,0.5882352941176471,0.7000000000000001,0.16666666666666669,1.0,0.1
2,0153,0.7592156862745097,0.5735294117647058,0.7000000000000001,0.12916666666666668,1.0,0.1
3,6025,0.7483333333333333,0.5,0.7000000000000001,0.16666666666666669,1.0,0.1
4,0385,0.747549019607843,0.5735294117647058,0.7000000000000001,0.07083333333333333,1.0,0.1
5,8057,0.7386764705882353,0.5147058823529411,0.7000000000000001,0.1,1.0,0.1
6,6752,0.7376470588235294,0.47058823529411764,0.6,0.25,1.0,0.1
7,5602,0.7366666666666667,0.5,0.7000000000000001,0.10833333333333334,1.0,0.1
8,2571,0.734313725490196,0.47058823529411764,0.6,0.23333333333333334,1.0,0.1
9,5304,0.7286764705882353,0.5147058823529411,0.7000000000000001,0.05,1.0,0.1
10,7105,0.7286764705882353,0.5147058823529411,0.7000000000000001,0.05,1.0,0.1
11,2930,0.7266176470588235,0.42647058823529416,0.7,0.15,1.0,0.1
12,6358,0.7261764705882353,0.5147058823529411,0.6,0.1375,1.0,0.1
13,7093,0.7244607843137255,0.4411764705882353,0.7000000000000001,0.12083333333333333,1.0,0.1
14,0056,0.7226960784313725,0.5441176470588235,0.8,0.13333333333333333,1.0,0.05
15,9063,0.7196078431372549,0.4117647058823529,0.7000000000000001,0.13333333333333333,1.0,0.1
16,5276,0.7184803921568627,0.47058823529411764,0.6,0.15416666666666667,1.0,0.1
17,9504,0.7181372549019608,0.45588235294117646,0.7000000000000001,0.07083333333333333,1.0,0.1
18,2856,0.7169607843137255,0.4411764705882353,0.6,0.18333333333333335,1.0,0.1
19,1275,0.716813725490196,0.47058823529411764,0.6,0.14583333333333334,1.0,0.1
20,5729,0.7158333333333332,0.5,0.6,0.10416666666666666,1.0,0.1
21,3528,0.7123529411764705,0.5294117647058824,0.6,0.05,1.0,0.1
22,6825,0.7102941176470589,0.4411764705882353,0.6,0.15000000000000002,1.0,0.1
23,3806,0.7080882352941177,0.38235294117647056,0.7000000000000001,0.11249999999999999,1.0,0.1
24,9273,0.7067647058823529,0.3970588235294118,0.6,0.18750000000000003,1.0,0.1
25,1630,0.706421568627451,0.38235294117647056,0.7,0.10416666666666666,1.0,0.1
26,8256,0.7052941176470587,0.4411764705882353,0.6,0.125,1.0,0.1
27,3545,0.704264705882353,0.6470588235294118,0.6,0.1125,1.0,0.05
28,6807,0.7042156862745098,0.3235294117647059,0.7000000000000001,0.16666666666666666,1.0,0.1
29,9585,0.6992647058823529,0.6470588235294118,0.6,0.08750000000000001,1.0,0.05
30,2940,0.6981862745098039,0.27941176470588236,0.7,0.19166666666666665,1.0,0.1
31,5562,0.6980882352941177,0.6323529411764706,0.6,0.1,1.0,0.05
32,3172,0.696078431372549,0.36764705882352944,0.6,0.17083333333333334,1.0,0.1
33,5596,0.6959313725490196,0.6470588235294118,0.6,0.07083333333333333,1.0,0.05
34,3060,0.6952941176470588,0.4411764705882353,0.8,0.125,1.0,0.05
35,1495,0.6950980392156862,0.3970588235294118,0.6,0.12916666666666668,1.0,0.1
36,1955,0.6950980392156862,0.6470588235294118,0.6,0.06666666666666667,1.0,0.05
37,2683,0.6928921568627451,0.3382352941176471,0.6,0.19166666666666665,1.0,0.1
38,6791,0.6918627450980391,0.29411764705882354,0.6,0.24166666666666667,1.0,0.1
39,3370,0.6900000000000001,0.5,0.7,0.125,1.0,0.05
40,5337,0.6880882352941177,0.6323529411764706,0.6,0.049999999999999996,1.0,0.05
41,5968,0.6873039215686274,0.45588235294117646,0.6,0.016666666666666666,1.0,0.1
42,3302,0.6846568627450981,0.4852941176470588,0.7000000000000001,0.11666666666666667,1.0,0.05
43,8490,0.6845098039215686,0.2647058823529412,0.7,0.14166666666666666,1.0,0.1
44,2976,0.6805392156862745,0.3088235294117647,0.6,0.16666666666666669,1.0,0.1
45,8700,0.678921568627451,0.38235294117647056,0.8,0.11666666666666667,1.0,0.05
46,0210,0.6785784313725491,0.36764705882352944,0.8,0.13333333333333333,1.0,0.05
47,5814,0.6777450980392157,0.36764705882352944,0.6,0.07916666666666666,1.0,0.1
48,6036,0.6772549019607843,0.38235294117647056,0.7000000000000001,0.20833333333333334,1.0,0.05
49,9471,0.6763235294117647,0.23529411764705882,0.6,0.2375,1.0,0.1
50,0109,0.6747549019607844,0.38235294117647056,0.8,0.09583333333333333,1.0,0.05
51,9008,0.6747549019607844,0.38235294117647056,0.8,0.09583333333333333,1.0,0.05
52,2689,0.6740196078431372,0.27941176470588236,0.6,0.1708333333333333,1.0,0.1
53,9643,0.6735294117647058,0.29411764705882354,0.6,0.15,1.0,0.1
54,4695,0.6734313725490196,0.3970588235294118,0.6,0.020833333333333332,1.0,0.1
55,8397,0.671421568627451,0.3823529411764706,0.6,0.029166666666666667,1.0,0.1
56,0680,0.6707352941176471,0.3529411764705882,0.8,0.11249999999999999,1.0,0.05
57,1008,0.6690686274509805,0.3529411764705882,0.8,0.10416666666666666,1.0,0.05
58,1287,0.6681862745098038,0.27941176470588236,0.6,0.14166666666666666,1.0,0.1
59,8179,0.6668627450980392,0.29411764705882354,0.6,0.11666666666666667,1.0,0.1
60,6324,0.6648529411764705,0.27941176470588236,0.6,0.125,1.0,0.1
61,2649,0.6634803921568627,0.22058823529411764,0.6,0.19166666666666665,1.0,0.1
62,0808,0.6632352941176471,0.3529411764705882,0.8,0.075,1.0,0.05
63,8367,0.6624019607843137,0.35294117647058826,0.6,0.020833333333333336,1.0,0.1
64,0440,0.6604901960784315,0.23529411764705882,0.8,0.20833333333333331,1.0,0.05
65,1962,0.6598529411764705,0.27941176470588236,0.6,0.1,1.0,0.1
66,9209,0.6585784313725491,0.36764705882352944,0.7000000000000001,0.13333333333333333,1.0,0.05
