fecha,numero
29/07/2025,2851
22/07/2025,1766
15/07/2025,7740
08/07/2025,7412
01/07/2025,8188
24/06/2025,6784
17/06/2025,603
10/06/2025,8056
07/06/2025,9508
27/05/2025,5336
20/05/2025,1246
13/05/2025,3050
06/05/2025,551
29/04/2025,906
22/04/2025,465
15/04/2025,7946
08/04/2025,1400
01/04/2025,4898
27/03/2025,2698
18/03/2025,5347
11/03/2025,7786
04/03/2025,5073
25/02/2025,5760
18/02/2025,9876
11/02/2025,4811
04/02/2025,4038
28/01/2025,6020
21/01/2025,9576
14/01/2025,3381
07/01/2025,1572
31/12/2024,8632
24/12/2024,5882
17/12/2024,5346
10/12/2024,5112
03/12/2024,7483
26/11/2024,9208
19/11/2024,7367
12/11/2024,8704
05/11/2024,7780
29/10/2024,108
22/10/2024,7022
15/10/2024,65
08/10/2024,173
01/10/2024,7830
24/09/2024,9058
17/09/2024,8582
10/09/2024,6859
03/09/2024,8955
27/08/2024,8186
20/08/2024,7805
13/08/2024,7812
06/08/2024,1765
30/07/2024,6373
23/07/2024,3822
16/07/2024,3345
09/07/2024,8262
02/07/2024,6304
25/06/2024,5546
18/06/2024,7087
11/06/2024,9500
04/06/2024,553
28/05/2024,5445
21/05/2024,272
14/05/2024,5610
07/05/2024,9545
30/04/2024,1813
23/04/2024,6874
16/04/2024,1381
09/04/2024,5761
02/04/2024,9190
26/03/2024,2732
19/03/2024,9278
12/03/2024,9205
05/03/2024,4463
27/02/2024,4149
20/02/2024,4231
13/02/2024,3463
06/02/2024,3265
30/01/2024,1286
23/01/2024,2740
16/01/2024,6633
09/01/2024,3800
02/01/2024,9965
26/12/2023,1402
19/12/2023,7579
12/12/2023,2608
05/12/2023,302
28/11/2023,4408
21/11/2023,1031
14/11/2023,825
07/11/2023,8019
31/10/2023,9602
24/10/2023,1575
17/10/2023,498
10/10/2023,12
03/10/2023,9546
26/09/2023,9435
19/09/2023,46
12/09/2023,3455
05/09/2023,6089
05/08/2025,7246
12/08/2025,8273
