fecha,numero
30/07/2025,1503
23/07/2025,8520
16/07/2025,6608
09/07/2025,4281
02/07/2025,1597
25/06/2025,9370
18/06/2025,5459
11/06/2025,3238
04/06/2025,3881
28/05/2025,6089
21/05/2025,8442
14/05/2025,4514
07/05/2025,8101
30/04/2025,7947
23/04/2025,4032
16/04/2025,7355
09/04/2025,4170
02/04/2025,9671
26/03/2025,1797
19/03/2025,9496
12/03/2025,1431
05/03/2025,1733
26/02/2025,3787
19/02/2025,7769
12/02/2025,2324
05/02/2025,7326
29/01/2025,3513
22/01/2025,9957
15/01/2025,9941
08/01/2025,9119
02/01/2025,324
26/12/2024,2574
18/12/2024,5334
11/12/2024,5397
04/12/2024,6285
27/11/2024,9121
20/11/2024,4765
13/11/2024,22
06/11/2024,8968
30/10/2024,4665
23/10/2024,4936
16/10/2024,4
09/10/2024,2806
02/10/2024,1482
25/09/2024,444
18/09/2024,3925
11/09/2024,2277
04/09/2024,19
28/08/2024,9541
21/08/2024,6161
14/08/2024,7524
06/08/2024,3495
31/07/2024,7586
24/07/2024,979
17/07/2024,666
10/07/2024,3264
03/07/2024,5990
26/06/2024,3810
19/06/2024,2691
12/06/2024,1843
05/06/2024,1604
29/05/2024,4026
22/05/2024,2770
15/05/2024,6674
08/05/2024,5543
02/05/2024,2515
24/04/2024,9019
17/04/2024,7949
10/04/2024,9264
03/04/2024,8159
27/03/2024,6936
20/03/2024,7543
13/03/2024,1619
06/03/2024,6696
28/02/2024,3803
21/02/2024,1909
14/02/2024,6088
07/02/2024,7562
31/01/2024,413
24/01/2024,174
17/01/2024,3329
10/01/2024,8570
03/01/2024,5744
27/12/2023,2714
20/12/2023,5181
13/12/2023,6239
06/12/2023,971
29/11/2023,591
22/11/2023,2321
15/11/2023,7041
08/11/2023,4427
01/11/2023,607
25/10/2023,6584
18/10/2023,922
11/10/2023,5323
04/10/2023,2193
27/09/2023,6537
20/09/2023,3984
13/09/2023,6041
06/09/2023,5008
06/08/2025,9198
13/08/2025,2125
