fecha,numero
01/08/2025,5334
25/07/2025,6641
18/07/2025,7800
11/07/2025,7653
04/07/2025,9408
27/06/2025,9191
20/06/2025,539
13/06/2025,6138
06/06/2025,6840
30/05/2025,624
23/05/2025,9798
16/05/2025,9405
09/05/2025,5329
02/05/2025,71
25/04/2025,4266
19/04/2025,9060
11/04/2025,4020
04/04/2025,3484
28/03/2025,2097
21/03/2025,7290
14/03/2025,1682
07/03/2025,5359
28/02/2025,492
21/02/2025,2185
14/02/2025,3686
07/02/2025,185
31/01/2025,5740
24/01/2025,2678
17/01/2025,7025
10/01/2025,728
03/01/2025,423
27/12/2024,5536
20/12/2024,4085
13/12/2024,6540
06/12/2024,8901
29/11/2024,1916
22/11/2024,852
15/11/2024,966
08/11/2024,7175
01/11/2024,5972
25/10/2024,5318
18/10/2024,8650
11/10/2024,8441
04/10/2024,9937
27/09/2024,8347
20/09/2024,8724
13/09/2024,83
06/09/2024,7737
30/08/2024,845
23/08/2024,5559
16/08/2024,7311
09/08/2024,2530
02/08/2024,4480
26/07/2024,9125
19/07/2024,4022
12/07/2024,9288
05/07/2024,7905
28/06/2024,1736
21/06/2024,3248
14/06/2024,6860
07/06/2024,5855
31/05/2024,5217
24/05/2024,5701
17/05/2024,1243
10/05/2024,6633
03/05/2024,2218
26/04/2024,8323
19/04/2024,7611
12/04/2024,9690
05/04/2024,123
30/03/2024,2570
22/03/2024,3332
15/03/2024,7128
08/03/2024,7087
01/03/2024,3863
23/02/2024,447
16/02/2024,2067
09/02/2024,2079
02/02/2024,9533
26/01/2024,9490
19/01/2024,6543
12/01/2024,4180
05/01/2024,2864
29/12/2023,9867
22/12/2023,8645
15/12/2023,7630
07/12/2023,1597
01/12/2023,2518
24/11/2023,5938
17/11/2023,9234
10/11/2023,247
03/11/2023,2410
27/10/2023,1090
20/10/2023,204
13/10/2023,6313
06/10/2023,8058
29/09/2023,1767
22/09/2023,1666
15/09/2023,1480
08/09/2023,1876
08/08/2025,9844
