fecha,numero
31/07/2025,3598
24/07/2025,9271
17/07/2025,1889
10/07/2025,2105
03/07/2025,510
26/06/2025,9301
19/06/2025,4892
12/06/2025,656
05/06/2025,5285
29/05/2025,6360
22/05/2025,7734
15/05/2025,4187
08/05/2025,8040
29/04/2025,3743
24/04/2025,989
10/04/2025,7917
03/04/2025,2803
27/03/2025,5637
20/03/2025,7640
13/03/2025,194
06/03/2025,1077
27/02/2025,4982
20/02/2025,4269
13/02/2025,2829
06/02/2025,6372
30/01/2025,3393
23/01/2025,6435
16/01/2025,6579
09/01/2025,5469
02/01/2025,6976
26/12/2024,3135
19/12/2024,745
12/12/2024,7960
05/12/2024,8186
28/11/2024,9305
21/11/2024,4343
14/11/2024,9378
07/11/2024,7956
31/10/2024,4702
24/10/2024,7544
17/10/2024,6162
10/10/2024,4363
03/10/2024,594
26/09/2024,3539
19/09/2024,2571
12/09/2024,9910
05/09/2024,9732
29/08/2024,3379
22/08/2024,6981
15/08/2024,6368
08/08/2024,736
01/08/2024,4242
25/07/2024,8628
18/07/2024,5520
11/07/2024,2367
04/07/2024,5360
27/06/2024,2160
20/06/2024,6926
13/06/2024,9441
06/06/2024,1765
30/05/2024,7860
23/05/2024,966
16/05/2024,1523
09/05/2024,8539
02/05/2024,1226
25/04/2024,2784
18/04/2024,9985
11/04/2024,9541
04/04/2024,4329
21/03/2024,9207
14/03/2024,1773
07/03/2024,9668
29/02/2024,9672
22/02/2024,7963
15/02/2024,6041
08/02/2024,2331
01/02/2024,285
25/01/2024,7381
18/01/2024,3258
11/01/2024,1354
04/01/2024,2214
28/12/2023,2535
21/12/2023,4125
14/12/2023,8334
07/12/2023,4837
30/11/2023,1865
23/11/2023,6769
16/11/2023,8344
09/11/2023,8050
02/11/2023,1734
26/10/2023,9221
19/10/2023,8002
12/10/2023,7379
05/10/2023,2126
28/09/2023,333
21/09/2023,193
14/09/2023,5995
07/09/2023,4640
31/08/2023,3354
24/08/2023,3852
05/08/2025,0306
