tabla,tipo,accion,filas_antes,filas_despues
todo,view,omitida (vista),,
astro_luna,table,omitida (fuente/excluida),,
baloto_premios,table,omitida (fuente/excluida),,
baloto_resultados,table,omitida (fuente/excluida),,
boyaca,table,omitida (fuente/excluida),,
cuando_1_es_c_d_y_u,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_1_es_c_y_d,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_1_es_c_y_u,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_1_es_centena,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_1_es_d_y_u,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_1_es_decena,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_1_es_um_c_d_y_u,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_1_es_um_c_y_d,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_1_es_um_c_y_u,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_1_es_um_d_y_u,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_1_es_um_y_c,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_1_es_um_y_d,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_1_es_um_y_u,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_1_es_umil,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_1_es_unidad,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_2_es_c_d_y_u,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_2_es_c_y_d,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_2_es_c_y_u,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_2_es_centena,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_2_es_d_y_u,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_2_es_decena,table,refrescada desde matriz_astro_luna,5501.0,5501.0
cuando_2_es_um_c_d_y_u,table,refrescada desde matriz_astro_luna,5501.0,5501.0
