tabla,tipo,accion,detalle
boyaca,table,ok_sin_barras,
huila,table,ok_sin_barras,
manizales,table,ok_sin_barras,
medellin,table,ok_sin_barras,
quindio,table,ok_sin_barras,
tolima,table,ok_sin_barras,
astro_luna,table,ok_sin_barras,
baloto_resultados,table,ok_sin_barras,
baloto_premios,table,ok_sin_barras,
revancha_resultados,table,ok_sin_barras,
revancha_premios,table,ok_sin_barras,
primer_resumen_matriz_aslu,table,ok_sin_barras,
segundo_resumen_matriz_aslu,table,ok_sin_barras,
tercer_resumen_matriz_aslu,table,ok_sin_barras,
cuarto_resumen_matriz_aslu,table,ok_sin_barras,
quinto_resumen_matriz_aslu,table,ok_sin_barras,
sexto_resumen_matriz_aslu,table,ok_sin_barras,
septimo_resumen_matriz_aslu,table,ok_sin_barras,
octavo_resumen_matriz_aslu,table,ok_sin_barras,
noveno_resumen_matriz_aslu,table,ok_sin_barras,
decimo_resumen_matriz_aslu,table,ok_sin_barras,
todos_resumen_matriz_aslu,table,ok_sin_barras,
cuando_cero_es_unidad,table,ok_sin_barras,
cuando_cero_es_decena,table,ok_sin_barras,
cuando_cero_es_centena,table,ok_sin_barras,
cuando_cero_es_umil,table,ok_sin_barras,
cuando_cero_es_d_y_u,table,ok_sin_barras,
cuando_cero_es_c_y_u,table,ok_sin_barras,
cuando_cero_es_um_y_u,table,ok_sin_barras,
cuando_cero_es_c_y_d,table,ok_sin_barras,
cuando_cero_es_um_y_d,table,ok_sin_barras,
cuando_cero_es_um_y_c,table,ok_sin_barras,
cuando_cero_es_c_d_y_u,table,ok_sin_barras,
cuando_cero_es_um_c_d_y_u,table,ok_sin_barras,
cuando_cero_es_um_c_y_d,table,ok_sin_barras,
cuando_cero_es_um_c_y_u,table,ok_sin_barras,
cuando_cero_es_um_d_y_u,table,ok_sin_barras,
todo_cuando_0_es,table,ok_sin_barras,
cuando_1_es_unidad,table,ok_sin_barras,
cuando_1_es_decena,table,ok_sin_barras,
cuando_1_es_centena,table,ok_sin_barras,
cuando_1_es_umil,table,ok_sin_barras,
cuando_1_es_d_y_u,table,ok_sin_barras,
cuando_1_es_c_y_u,table,ok_sin_barras,
cuando_1_es_um_y_u,table,ok_sin_barras,
cuando_1_es_c_y_d,table,ok_sin_barras,
cuando_1_es_um_y_d,table,ok_sin_barras,
cuando_1_es_um_y_c,table,ok_sin_barras,
cuando_1_es_c_d_y_u,table,ok_sin_barras,
cuando_1_es_um_c_d_y_u,table,ok_sin_barras,
cuando_1_es_um_c_y_d,table,ok_sin_barras,
cuando_1_es_um_c_y_u,table,ok_sin_barras,
cuando_1_es_um_d_y_u,table,ok_sin_barras,
todo_cuando_1_es,table,ok_sin_barras,
cuando_2_es_unidad,table,ok_sin_barras,
cuando_2_es_decena,table,ok_sin_barras,
cuando_2_es_centena,table,ok_sin_barras,
cuando_2_es_umil,table,ok_sin_barras,
cuando_2_es_c_d_y_u,table,ok_sin_barras,
cuando_2_es_c_y_d,table,ok_sin_barras,
cuando_2_es_c_y_u,table,ok_sin_barras,
cuando_2_es_d_y_u,table,ok_sin_barras,
cuando_2_es_um_c_d_y_u,table,ok_sin_barras,
cuando_2_es_um_c_y_d,table,ok_sin_barras,
cuando_2_es_um_c_y_u,table,ok_sin_barras,
cuando_2_es_um_d_y_u,table,ok_sin_barras,
cuando_2_es_um_y_c,table,ok_sin_barras,
cuando_2_es_um_y_d,table,ok_sin_barras,
cuando_2_es_um_y_u,table,ok_sin_barras,
