tabla,tipo,accion,detalle
todo,view,verificada,COUNT=22004 | MAX(fecha)=2025-08-08
todo,view,omitida (sin regla específica),
astro_luna,table,verificada,COUNT=5501 | MAX(fecha)=2025-08-08
baloto_premios,table,omitida (fuente/excluida),
baloto_resultados,table,omitida (fuente/excluida),
boyaca,table,omitida (fuente/excluida),
cuando_1_es_c_d_y_u,table,reconstruida (cuándo: (c = 1 AND d = 1) AND (u = 1)),(c = 1 AND d = 1) AND (u = 1)
cuando_1_es_c_y_d,table,reconstruida (cuándo: (c = 1) AND (d = 1)),(c = 1) AND (d = 1)
cuando_1_es_c_y_u,table,reconstruida (cuándo: (c = 1) AND (u = 1)),(c = 1) AND (u = 1)
cuando_1_es_centena,table,reconstruida (cuándo: (c = 1)),(c = 1)
cuando_1_es_d_y_u,table,reconstruida (cuándo: (d = 1) AND (u = 1)),(d = 1) AND (u = 1)
cuando_1_es_decena,table,reconstruida (cuándo: (d = 1)),(d = 1)
cuando_1_es_um_c_d_y_u,table,reconstruida (cuándo: (um = 1 AND c = 1 AND d = 1) AND (u = 1)),(um = 1 AND c = 1 AND d = 1) AND (u = 1)
cuando_1_es_um_c_y_d,table,reconstruida (cuándo: (um = 1 AND c = 1) AND (d = 1)),(um = 1 AND c = 1) AND (d = 1)
cuando_1_es_um_c_y_u,table,reconstruida (cuándo: (um = 1 AND c = 1) AND (u = 1)),(um = 1 AND c = 1) AND (u = 1)
cuando_1_es_um_d_y_u,table,reconstruida (cuándo: (um = 1 AND d = 1) AND (u = 1)),(um = 1 AND d = 1) AND (u = 1)
cuando_1_es_um_y_c,table,reconstruida (cuándo: (um = 1) AND (c = 1)),(um = 1) AND (c = 1)
cuando_1_es_um_y_d,table,reconstruida (cuándo: (um = 1) AND (d = 1)),(um = 1) AND (d = 1)
cuando_1_es_um_y_u,table,reconstruida (cuándo: (um = 1) AND (u = 1)),(um = 1) AND (u = 1)
cuando_1_es_umil,table,reconstruida (cuándo: (um = 1)),(um = 1)
cuando_1_es_unidad,table,reconstruida (cuándo: (u = 1)),(u = 1)
cuando_2_es_c_d_y_u,table,reconstruida (cuándo: (c = 2 AND d = 2) AND (u = 2)),(c = 2 AND d = 2) AND (u = 2)
cuando_2_es_c_y_d,table,reconstruida (cuándo: (c = 2) AND (d = 2)),(c = 2) AND (d = 2)
cuando_2_es_c_y_u,table,reconstruida (cuándo: (c = 2) AND (u = 2)),(c = 2) AND (u = 2)
cuando_2_es_centena,table,reconstruida (cuándo: (c = 2)),(c = 2)
cuando_2_es_d_y_u,table,reconstruida (cuándo: (d = 2) AND (u = 2)),(d = 2) AND (u = 2)
cuando_2_es_decena,table,reconstruida (cuándo: (d = 2)),(d = 2)
cuando_2_es_um_c_d_y_u,table,reconstruida (cuándo: (um = 2 AND c = 2 AND d = 2) AND (u = 2)),(um = 2 AND c = 2 AND d = 2) AND (u = 2)
cuando_2_es_um_c_y_d,table,reconstruida (cuándo: (um = 2 AND c = 2) AND (d = 2)),(um = 2 AND c = 2) AND (d = 2)
cuando_2_es_um_c_y_u,table,reconstruida (cuándo: (um = 2 AND c = 2) AND (u = 2)),(um = 2 AND c = 2) AND (u = 2)
cuando_2_es_um_d_y_u,table,reconstruida (cuándo: (um = 2 AND d = 2) AND (u = 2)),(um = 2 AND d = 2) AND (u = 2)
cuando_2_es_um_y_c,table,reconstruida (cuándo: (um = 2) AND (c = 2)),(um = 2) AND (c = 2)
cuando_2_es_um_y_d,table,reconstruida (cuándo: (um = 2) AND (d = 2)),(um = 2) AND (d = 2)
cuando_2_es_um_y_u,table,reconstruida (cuándo: (um = 2) AND (u = 2)),(um = 2) AND (u = 2)
cuando_2_es_umil,table,reconstruida (cuándo: (um = 2)),(um = 2)
cuando_2_es_unidad,table,reconstruida (cuándo: (u = 2)),(u = 2)
cuando_3_es_c_d_y_u,table,reconstruida (cuándo: (c = 3 AND d = 3) AND (u = 3)),(c = 3 AND d = 3) AND (u = 3)
cuando_3_es_c_y_d,table,reconstruida (cuándo: (c = 3) AND (d = 3)),(c = 3) AND (d = 3)
cuando_3_es_c_y_u,table,reconstruida (cuándo: (c = 3) AND (u = 3)),(c = 3) AND (u = 3)
