sorteo,modo,fecha,aciertos,premio_total,ganadores,premio_por_ganador
2534,revancha,02/08/2025,5+SB,$2.400.000.000,1,$2.400.000.000
2534,revancha,02/08/2025,5,$0,0,$0
2534,revancha,02/08/2025,4+SB,$4.141.250,5,$828.25
2534,revancha,02/08/2025,4,$4.530.000,75,$60.40
2534,revancha,02/08/2025,3+SB,$3.922.500,150,$26.15
2534,revancha,02/08/2025,3,$12.862.800,2.382,$5.40
2534,revancha,02/08/2025,2+SB,$10.225.400,1.763,$5.80
2534,revancha,02/08/2025,0+SB,$52.752.000,17.584,$3.00
2533,revancha,30/07/2025,5+SB,$0,0,$0
2533,revancha,30/07/2025,5,$14.758.650,1,$14.758.650
2533,revancha,30/07/2025,4+SB,$0,0,$0
2533,revancha,30/07/2025,4,$3.234.000,49,$66.00
2533,revancha,30/07/2025,3+SB,$2.802.800,91,$30.80
2533,revancha,30/07/2025,3,$9.119.100,1.614,$5.65
2533,revancha,30/07/2025,2+SB,$7.288.500,1.13,$6.45
2533,revancha,30/07/2025,0+SB,$36.570.000,12.19,$3.00
2532,revancha,28/07/2025,5+SB,$0,0,$0
2532,revancha,28/07/2025,5,$0,0,$0
2532,revancha,28/07/2025,4+SB,$1.212.250,1,$1.212.250
2532,revancha,28/07/2025,4,$1.325.700,18,$73.65
2532,revancha,28/07/2025,3+SB,$1.148.400,44,$26.10
2532,revancha,28/07/2025,3,$3.751.500,615,$6.10
2532,revancha,28/07/2025,2+SB,$2.986.600,548,$5.45
2532,revancha,28/07/2025,0+SB,$16.329.000,5.443,$3.00
2531,revancha,26/07/2025,5+SB,$25.600.000.000,1,$25.600.000.000
2531,revancha,26/07/2025,5,$22.462.700,1,$22.462.700
2531,revancha,26/07/2025,4+SB,$4.502.000,8,$562.75
2531,revancha,26/07/2025,4,$4.922.500,110,$44.75
2531,revancha,26/07/2025,3+SB,$4.267.300,278,$15.35
2531,revancha,26/07/2025,3,$13.941.450,4.041,$3.45
2531,revancha,26/07/2025,2+SB,$11.138.600,2.684,$4.15
2531,revancha,26/07/2025,0+SB,$65.298.000,21.766,$3.00
2530,revancha,23/07/2025,5+SB,$0,0,$0
2530,revancha,23/07/2025,5,$0,0,$0
2530,revancha,23/07/2025,4+SB,$3.317.600,13,$255.20
2530,revancha,23/07/2025,4,$3.629.600,104,$34.90
2530,revancha,23/07/2025,3+SB,$3.141.250,175,$17.95
2530,revancha,23/07/2025,3,$10.227.550,2.881,$3.55
2530,revancha,23/07/2025,2+SB,$8.225.300,1.982,$4.15
2530,revancha,23/07/2025,0+SB,$39.912.000,13.304,$3.00
2529,revancha,21/07/2025,5+SB,$0,0,$0
2529,revancha,21/07/2025,5,$0,0,$0
2529,revancha,21/07/2025,4+SB,$1.552.500,5,$310.50
2529,revancha,21/07/2025,4,$1.698.550,23,$73.85
2529,revancha,21/07/2025,3+SB,$1.472.400,72,$20.45
2529,revancha,21/07/2025,3,$4.803.700,794,$6.05
2529,revancha,21/07/2025,2+SB,$3.849.600,802,$4.80
2529,revancha,21/07/2025,0+SB,$23.778.000,7.926,$3.00
2528,revancha,19/07/2025,5+SB,$0,0,$0
2528,revancha,19/07/2025,5,$0,0,$0
2528,revancha,19/07/2025,4+SB,$4.611.900,6,$768.65
2528,revancha,19/07/2025,4,$5.043.700,62,$81.35
2528,revancha,19/07/2025,3+SB,$4.372.500,159,$27.50
2528,revancha,19/07/2025,3,$14.286.450,2.323,$6.15
2528,revancha,19/07/2025,2+SB,$11.366.550,1.943,$5.85
2528,revancha,19/07/2025,0+SB,$58.635.000,19.545,$3.00
2527,revancha,16/07/2025,5+SB,$0,0,$0
2527,revancha,16/07/2025,5,$0,0,$0
2527,revancha,16/07/2025,4+SB,$3.599.500,5,$719.90
2527,revancha,16/07/2025,4,$3.937.200,51,$77.20
2527,revancha,16/07/2025,3+SB,$3.410.400,112,$30.45
2527,revancha,16/07/2025,3,$11.126.250,1.935,$5.75
2527,revancha,16/07/2025,2+SB,$8.856.900,1.514,$5.85
2527,revancha,16/07/2025,0+SB,$47.676.000,15.892,$3.00
2526,revancha,14/07/2025,5+SB,$0,0,$0
2526,revancha,14/07/2025,5,$0,0,$0
2526,revancha,14/07/2025,4+SB,$0,0,$0
2526,revancha,14/07/2025,4,$1.687.150,41,$41.15
